indice_tiempo,ipc_chaco_historico_ng
2016-12-01,493.70361168137066
2017-01-01,504.43
2017-02-01,506.58
2017-03-01,513.94
2017-04-01,533.3
2017-05-01,543.43
2017-06-01,554.71
2017-07-01,558.54
2017-08-01,566.88
2017-09-01,576.74
2017-10-01,589.16
2017-11-01,599.26
2017-12-01,606.45
2018-01-01,624.64
2018-02-01,631.64
2018-03-01,646.75
2018-04-01,664.46
2018-05-01,682.29
2018-06-01,715.12
2018-07-01,742.19
2018-08-01,778.42
2018-09-01,828.98
2018-10-01,871.53
2018-11-01,893.94
2018-12-01,902.94
2019-01-01,941.62
2019-02-01,970.48
2019-03-01,1012.26
2019-04-01,1039.99
2019-05-01,1065.46
2019-06-01,1095.94
2019-07-01,1108.61
2019-08-01,1164.49
2019-09-01,1240.55
2019-10-01,1262.09
2019-11-01,1328.39
2019-12-01,1366.19
2020-01-01,1420.16
2020-02-01,1459.1862864144941
2020-03-01,1510.97
2020-04-01,1546.34
2020-05-01,1575.88
2020-06-01,1581.06
2020-07-01,1627.79
2020-08-01,1675.02
2020-09-01,1735.08
2020-10-01,1836.38
2020-11-01,1905.15
2020-12-01,2005.72
2021-01-01,2093.54
2021-02-01,2192.75
2021-03-01,2256.13
2021-04-01,2340.85
2021-05-01,2403.17
2021-06-01,2493.4
2021-07-01,2580.29
2021-08-01,2620.76
2021-09-01,2697.01
2021-10-01,2798.12
2021-11-01,2861.43
2021-12-01,2991.89232219041
2022-01-01,3102.8382675348
2022-02-01,3274.16682875211
2022-03-01,3479.08
2022-04-01,3709.23
2022-05-01,3913.5
2022-06-01,4092.73
2022-07-01,4415.6
2022-08-01,4759.31
2022-09-01,5080.04
2022-10-01,5357.03
2022-11-01,5627.67957242494
2022-12-01,5909.56139599731
2023-01-01,6228.03751621807
2023-02-01,6707.13329450103
2023-03-01,7123.813202900101
2023-04-01,7705.99944339999
2023-05-01,8304.27131159008
2023-06-01,8760.62181238036
2023-07-01,9289.47456605881
2023-08-01,10654.4592155834
2023-09-01,12063.8756676158
2023-10-01,13163.8041986064
2023-11-01,14643.1324146002
2023-12-01,18967.5560850882
2024-01-01,23018.2431217908
2024-02-01,25466.2525996908
2024-03-01,27601.6242871818
2024-04-01,29262.6551912647
2024-05-01,30580.6427138933
2024-06-01,31906.2167988767
2024-07-01,33052.5323985753
2024-08-01,34570.8613269042
2024-09-01,35930.1617167515
2024-10-01,36911.0883477532
2024-11-01,37438.8545868428
2024-12-01,38186.015275762
2025-01-01,39039.0460070123
2025-02-01,39957.3861793619
2025-03-01,41511.147528015
2025-04-01,42490.6554063789
